id_old,created_at,title,image,description,price,stock,category,featured,id
95,2024-12-09 19:21:31.165849+00,Fender American Ultra Strat,https://www.testar.dev/ironhack/git-arr/product-images/Fender-American-Ultra-Strat.jpg,Premium Stratocaster with advanced features and modern playability.,1999.99,7,1,false,a47d186c-c53f-489f-8732-421301046702
91,2024-12-09 19:21:31.165849+00,Martin D-28,https://www.testar.dev/ironhack/git-arr/product-images/Martin-D-28.jpg,"Premium acoustic guitar with deep, full sound and excellent projection.",2999.99,4,2,false,a986a961-f040-4105-a255-13fde7551bb0
98,2024-12-09 19:21:31.165849+00,Charvel Pro-Mod DK24,https://www.testar.dev/ironhack/git-arr/product-images/Charvel-Pro-Mod-DK24.jpg,"Super-strat style guitar with hot-rodded pickups, perfect for modern rock.",899.99,8,1,false,aed96683-ec4e-4a1a-a987-b7e8d97ed826
94,2024-12-09 19:21:31.165849+00,Gibson ES-335,https://www.testar.dev/ironhack/git-arr/product-images/Gibson-ES-335.jpg,"Classic semi-hollow body with a warm, resonant tone. Great for blues and rock.",2499.99,3,1,false,b13ef340-4647-4c2b-8ca4-cfdc7b6ac534
79,2024-12-09 19:21:31.165849+00,Fender Stratocaster,https://www.testar.dev/ironhack/git-arr/product-images/Fender-Stratocaster.jpg,Iconic electric guitar known for its clear tones and versatile sound.,799.99,15,1,false,baf2cf77-51c8-416a-903b-3de5f779c0c5
86,2024-12-09 19:21:31.165849+00,Gretsch G2622 Streamliner,https://www.testar.dev/ironhack/git-arr/product-images/Gretsch-G2622-Streamliner.jpg,"Semi-hollow body guitar with a warm, vintage sound. Great for jazz and blues.",549.99,12,1,false,c0197314-c885-4c98-ad44-8cd1cad4d123
81,2024-12-09 19:21:31.165849+00,Ibanez RG550,https://www.testar.dev/ironhack/git-arr/product-images/Ibanez-RG550.jpg,"High-performance guitar with a fast neck, ideal for metal and shredding.",699.99,10,1,false,cdbc33ee-5d28-4258-8c1f-5dd141a0659f
82,2024-12-09 19:21:31.165849+00,PRS SE Custom 24,https://www.testar.dev/ironhack/git-arr/product-images/PRS-SE-Custom-24.jpg,Versatile guitar with excellent sustain and clear tones. Great for all genres.,899.99,5,1,false,d6cbfce7-57ba-4a66-a959-20cb7d77bd29
104,2024-12-09 19:21:31.165849+00,Gibson J-45,https://www.testar.dev/ironhack/git-arr/product-images/Gibson-J-45.jpg,"Iconic acoustic guitar with a balanced tone, perfect for singer-songwriters.",2749.99,5,2,false,d9a69f44-5fb4-4fdc-8bce-2091ff4ee5e3
89,2024-12-09 19:21:31.165849+00,Squier Classic Vibe 50s Strat,https://www.testar.dev/ironhack/git-arr/product-images/Squier-Classic-Vibe-50s-Strat.jpg,Affordable Stratocaster with vintage styling and tones.,399.99,20,1,true,e0d5772b-88ff-4b7f-8be0-b1d1b0f24382
90,2024-12-09 19:21:31.165849+00,Taylor 214ce,https://www.testar.dev/ironhack/git-arr/product-images/Taylor-214ce.jpg,"Acoustic-electric guitar with rich, resonant sound. Ideal for live performances.",999.99,9,2,false,ed66863b-dcea-4269-8e4e-362263098f2c
102,2024-12-09 19:21:31.165849+00,Fender CD-60S,https://www.testar.dev/ironhack/git-arr/product-images/Fender-CD-60S.jpg,"Affordable dreadnought acoustic guitar with a smooth, easy-to-play neck.",229.99,20,2,true,ee79f17a-d9ca-4684-8fa2-4e89641bd60c
97,2024-12-09 19:21:31.165849+00,Epiphone Les Paul Standard,https://www.testar.dev/ironhack/git-arr/product-images/Epiphone-Les-Paul-Standard.jpg,Affordable version of the Les Paul with solid rock tones and great build quality.,599.99,11,1,false,f6331bbf-0d5c-489c-93b4-3d545d91ec92
